id,scientific.name,family,taxon.rank,taxon.status,threat.status,life.form,habitat,vegetation.type,domain,original.search,notes,search.str,accepted.name,obs
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa quadrangularis,not found,NA,Zapoteca tetragona,
114576,Vachellia farnesiana (L.) Wight & Arn.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,�rea Antr�pica|Caatinga (stricto sensu),Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa farnesiana,replaced synonym,Vachellia farnesiana,Vachellia farnesiana,"This species is not a mimosa. It's ""Vachellia farnesiana"" Flora 2020"
101020,Senegalia tenuifolia (L.) Britton & Rose,Fabaceae,species,accepted,NA,Arbusto|Liana/vol�vel/trepadeira,Terr�cola,Caatinga (stricto sensu)|Campinarana|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial),Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa tenuifolia,replaced synonym,Senegalia tenuifolia,Senegalia tenuifolia,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pungens pungens,not found,NA,Pithecellobium dulce,
23092,Mimosa setosa Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa aff. setosa,,Mimosa setosa,NA,will we remove aff.?
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa bifurca radula,not found,NA,NA,"there isn't a ""M. bifurca radula"""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa caracenii,not found,NA,NA,Thete isn't a M. caracenii
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa debilis paludigera,not found,NA,NA,there ins't a M. debilis var. paludigera
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa entada,not found,NA,NA,There isn't a M. entada
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa guilandinae micrantha,not found,NA,NA,there isn’t a M. guilandinae var. Or subsp. micranthe
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa hassleriana aculeata,not found,NA,NA,There is no “M. hassleriana var. Or subsp. Aculeata” in simon’s data and M. hassleriana is now M. bifurca.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa hirsutula,not found,NA,NA,This species isn’t in the Simon and flora data but it is in savassi-coutinho’s thesis
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa micrantha,not found,NA,NA,correction: leo
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa parviflora,not found,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pilulifera discolor,not found,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa polycephala latifolia,not found,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa sensibilis spegazzinii,not found,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa sensibilis viscida,not found,NA,NA,
23084,Mimosa L.,Fabaceae,genus,accepted,NA,NA,NA,NA,NA,Mimosa sp.,,Mimosa sp.,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa stipulacea,not found,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa sulphurea,not found,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa tetragona leptocarpa,not found,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa vernicosa ciliata,not found,NA,NA,
18883,Mimosa xiquexiquensis Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Caatinga (stricto sensu),Caatinga,Mimosa xiquexiquensis,,Mimosa xiquexiquensis,Mimosa xiquexiquensis,
31377,Mimosa xavantinae Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa xavantinae,,Mimosa xavantinae,Mimosa xavantinae,
104135,Mimosa xanthocentra Mart. var. xanthocentra,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,�rea Antr�pica|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial),Cerrado|Mata Atl�ntica,Mimosa xanthocentra var. xanthocentra,,Mimosa xanthocentra var. xanthocentra,Mimosa xanthocentra var. xanthocentra,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa xanthocentra xanthocentra,not found,NA,Mimosa xanthocentra var. xanthocentra,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa xanthocentra tremula,not found,NA,Mimosa xanthocentra var. tremula,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa xanthocentra tenuis,not found,NA,Mimosa xanthocentra var. tenuis,
104134,Mimosa xanthocentra var. subsericea (Benth.) Barneby,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado|Mata Atl�ntica,Mimosa stipularis,replaced synonym,Mimosa xanthocentra var. subsericea,Mimosa xanthocentra var. subsericea,
104134,Mimosa xanthocentra var. subsericea (Benth.) Barneby,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado|Mata Atl�ntica,Mimosa subsericea,replaced synonym,Mimosa xanthocentra var. subsericea,Mimosa xanthocentra var. subsericea,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa xanthocentra subsericea,not found,NA,Mimosa xanthocentra var. subsericea,
104134,Mimosa xanthocentra var. subsericea (Benth.) Barneby,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado|Mata Atl�ntica,Mimosa xanthocentra var. subsericea,,Mimosa xanthocentra var. subsericea,Mimosa xanthocentra var. subsericea,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa xanthocentra miseranda,not found,NA,Mimosa xanthocentra var. miseranda,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa xanthocentra mansii,not found,NA,Mimosa xanthocentra var. mansii,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa xanthocentra exilis,not found,NA,Mimosa xanthocentra var. exilis,
112059,Mimosa xanthocentra var. exilis Barneby,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa xanthocentra var. exilis,,Mimosa xanthocentra var. exilis,Mimosa xanthocentra var. exilis,
23095,Mimosa xanthocentra Mart.,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,NA,Amaz�nia|Cerrado|Mata Atl�ntica,Mimosa xanthocentra,,Mimosa xanthocentra,Mimosa xanthocentra,
23095,Mimosa xanthocentra Mart.,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,NA,Amaz�nia|Cerrado|Mata Atl�ntica,Mimosa xantocentra,was misspelled,Mimosa xanthocentra,Mimosa xanthocentra,
78936,Mimosa weddelliana Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado|Pantanal,Mimosa weddelliana,,Mimosa weddelliana,Mimosa weddelliana,
123977,Mimosa viscosa Chodat & Hassl.,Fabaceae,species,synonym,NA,NA,NA,NA,NA,Mimosa riscosa,was misspelled|check no accepted name,Mimosa viscosa,Mimosa viscosa,
31371,Mimosa virgula Barneby,Fabaceae,species,accepted,NT,Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa virgula,,Mimosa virgula,Mimosa virgula,
121893,Mimosa viperina M.F. Simon & C.E. Hughes,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa viperina,,Mimosa viperina,Mimosa viperina,
31370,Mimosa vestita Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa vestita,,Mimosa vestita,Mimosa vestita,
83478,Mimosa verrucosa Benth.,Fabaceae,species,accepted,LC,Arbusto,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa verrucosa,,Mimosa verrucosa,Mimosa verrucosa,
31368,Mimosa verecunda Benth.,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa verecunda,,Mimosa verecunda,Mimosa verecunda,
31367,Mimosa venatorum Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa venatorum,,Mimosa venatorum,Mimosa venatorum,
23094,Mimosa velloziana Mart.,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,�rea Antr�pica|Caatinga (stricto sensu)|Campinarana|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial),Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa vellosiana,was misspelled,Mimosa velloziana,Mimosa velloziana,
23094,Mimosa velloziana Mart.,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,�rea Antr�pica|Caatinga (stricto sensu)|Campinarana|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial),Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa velloziana,,Mimosa velloziana,Mimosa velloziana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa velloziana velloziana,not found,NA,Mimosa velloziana,
78935,Mimosa urticaria Barneby,Fabaceae,species,accepted,EN,Arbusto,Terr�cola,�rea Antr�pica,Mata Atl�ntica,Mimosa urticaria,,Mimosa urticaria,Mimosa urticaria,
83476,Mimosa ursina Mart.,Fabaceae,species,accepted,NA,Erva,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa ursina,,Mimosa ursina,Mimosa ursina,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa setosa subsp. urbica,not found,NA,Mimosa urbica,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa setosa urbana,not found,NA,Mimosa urbica,
606996,Mimosa urbica (Barneby) Marc.F.Simon,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,NA,Cerrado (lato sensu),Cerrado,Mimosa urbica,,Mimosa urbica,Mimosa urbica,
135824,Mimosa uraguensis Hook.&Arnott,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Floresta Ciliar ou Galeria,Mata Atl�ntica|Pampa,Mimosa uraguensis,,Mimosa uraguensis,Mimosa uraguensis,
135824,Mimosa uraguensis Hook.&Arnott,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Floresta Ciliar ou Galeria,Mata Atl�ntica|Pampa,Mimosa uruguensis,was misspelled,Mimosa uraguensis,Mimosa uraguensis,
135823,Mimosa uninervis (Chodat & Hassler) Hassler,Fabaceae,species,accepted,NA,Erva,Terr�cola,�rea Antr�pica|Campo Limpo|Cerrado (lato sensu),Cerrado,Mimosa uninervia,was misspelled,Mimosa uninervis,Mimosa uninervis,
135823,Mimosa uninervis (Chodat & Hassler) Hassler,Fabaceae,species,accepted,NA,Erva,Terr�cola,�rea Antr�pica|Campo Limpo|Cerrado (lato sensu),Cerrado,Mimosa uninervis,,Mimosa uninervis,Mimosa uninervis,
100985,Mimosa uliginosa Chodat & Hassl.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,NA,Mata Atl�ntica|Pampa,Mimosa uliginosa,,Mimosa uliginosa,Mimosa uliginosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa ulei ulei,not found,NA,Mimosa ulei var. ulei,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa ulei grallator,not found,NA,Mimosa ulei var. grallator,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa gymnothyrsa,not found,NA,Mimosa ulei,"corrected with leo's thesis, but check"
31362,Mimosa ulei Taub.,Fabaceae,species,accepted,EN,NA,NA,NA,NA,Mimosa ulei,,Mimosa ulei,Mimosa ulei,
18875,Mimosa ulbrichiana Harms,Fabaceae,species,accepted,LC,Arbusto,Terr�cola,Cerrado (lato sensu),Caatinga|Cerrado,Mimosa ulbrichiana,,Mimosa ulbrichiana,Mimosa ulbrichiana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa vellosiella,not found,NA,Mimosa tweedieana,
127001,"Mimosa tucumensis Barneby ex O.S.Ribas, M.Morales & J.Santos-Silva",Fabaceae,species,accepted,NA,Erva,Terr�cola,Campo de Altitude,Mata Atl�ntica,Mimosa tucumensis,,Mimosa tucumensis,Mimosa tucumensis,
128120,Mimosa trinerva V. F. Dutra & F. C. P. Garcia,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa trinerva,,Mimosa trinerva,Mimosa trinerva,
123611,Mimosa tocantina Taub.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa pseudosetosa,replaced synonym,Mimosa tocantina,Mimosa tocantina,
123611,Mimosa tocantina Taub.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa tocantina,,Mimosa tocantina,Mimosa tocantina,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa tobatiensis,not found,NA,Mimosa tobatiensis,
31360,Mimosa thomista Barneby,Fabaceae,species,accepted,EN,Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa thomista,,Mimosa thomista,Mimosa thomista,
31359,Mimosa thermarum Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa thermarum,,Mimosa thermarum,Mimosa thermarum,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa tetragona,not found,NA,Mimosa tetragona,
605553,Mimosa terribilis Marchiori & Sobral ex Schmidt-Silveira & Miotto,Fabaceae,species,accepted,NA,Subarbusto,NA,Campo Limpo,Pampa,Mimosa terribilis,,Mimosa terribilis,Mimosa terribilis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa hostilis,not found,NA,Mimosa tenuiflora ,
18874,Mimosa tenuiflora (Willd.) Poir.,Fabaceae,species,accepted,NA,Arbusto|�rvore|Subarbusto,Terr�cola,�rea Antr�pica|Caatinga (stricto sensu),Caatinga|Cerrado,Mimosa nigra,replaced synonym,Mimosa tenuiflora,Mimosa tenuiflora,
18874,Mimosa tenuiflora (Willd.) Poir.,Fabaceae,species,accepted,NA,Arbusto|�rvore|Subarbusto,Terr�cola,�rea Antr�pica|Caatinga (stricto sensu),Caatinga|Cerrado,Mimosa tenuiflora,,Mimosa tenuiflora,Mimosa tenuiflora,
18873,Mimosa tarda Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,NA,Caatinga|Mata Atl�ntica,Mimosa tarda,,Mimosa tarda,Mimosa tarda,
100983,Mimosa taimbensis Burkart,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo de Altitude,Mata Atl�ntica,Mimosa taimbensis,,Mimosa taimbensis,Mimosa taimbensis,
117087,Mimosa surumuënsis Harms,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Savana Amaz�nica,Amaz�nia,Mimosa surumuensis,was misspelled,Mimosa surumu�nsis,Mimosa surumuensis,
83473,Mimosa supravisa Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa supravisa,,Mimosa supravisa,Mimosa supravisa,
31356,Mimosa suburbana Barneby,Fabaceae,species,accepted,CR,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa suburbana,,Mimosa suburbana,Mimosa suburbana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa suberosa,not found,NA,Mimosa suberosa,
18871,Mimosa subenervis Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa subenervia,replaced synonym,Mimosa subenervis,Mimosa subenervis,
18871,Mimosa subenervis Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa subenervis,,Mimosa subenervis,Mimosa subenervis,
18871,Mimosa subenervis Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa subnervia,was misspelled|replaced synonym,Mimosa subenervis,Mimosa subenervis,
18871,Mimosa subenervis Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa subnervis,was misspelled,Mimosa subenervis,Mimosa subenervis,
31354,Mimosa stylosa Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa stylosa,,Mimosa stylosa,Mimosa stylosa,
100982,Mimosa strobiliflora Burkart,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Floresta Ciliar ou Galeria,Mata Atl�ntica,Mimosa strobiliflora,,Mimosa strobiliflora,Mimosa strobiliflora,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa alegretense,not found,NA,Mimosa sprengelii,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa alegretensis,not found,NA,Mimosa sprengelii,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa sprengelii,not found,NA,Mimosa sprengelii,
31352,Mimosa splendida Barneby,Fabaceae,species,accepted,EN,Arbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa splendida,,Mimosa splendida,Mimosa splendida,
31351,Mimosa spixiana Barneby,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa spixiana,,Mimosa spixiana,Mimosa spixiana,
31350,Mimosa speciosissima Taub.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa speciosissima,,Mimosa speciosissima,Mimosa speciosissima,
100981,Mimosa sparsiformis Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo de Altitude|Floresta Ombr�fila (= Floresta Pluvial)|Floresta Ombr�fila Mista,Mata Atl�ntica,Mimosa sparsiformis,,Mimosa sparsiformis,Mimosa sparsiformis,
112065,Mimosa sparsa Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo Limpo,NA,Mimosa sparsa,,Mimosa sparsa,Mimosa sparsa,
83470,Mimosa somnians var. viscida (Willd.) Barneby,Fabaceae,variety,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Amaz�nia|Cerrado,Mimosa somnians var. viscida,,Mimosa somnians var. viscida,Mimosa somnians var. viscida,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa somnians velascoensis,not found,NA,Mimosa somnians var. velascoensis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa somnians velascoënsis,not found,NA,Mimosa somnians var. velascoensis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa somnians veloseoensis,not found,NA,Mimosa somnians var. velascoensis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa somnians somnians,not found,NA,Mimosa somnians var. somnians,
83469,Mimosa somnians Humb. & Bonpl. ex Willd. var. somnians,Fabaceae,variety,accepted,NA,Arbusto|Subarbusto,Terr�cola,�rea Antr�pica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria,Caatinga|Cerrado,Mimosa somnians var. somnians,,Mimosa somnians var. somnians,Mimosa somnians var. somnians,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa somnians viscida,not found,NA,Mimosa somnians var. somnians,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa somnians possensis,not found,NA,Mimosa somnians var. possensis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa somnians lupulina,not found,NA,Mimosa somnians var. lupulina,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa somnians longipes,not found,NA,Mimosa somnians var. longipes,
104126,Mimosa somnians var. leptocaulis (Benth.) Barneby,Fabaceae,variety,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa laevigata,replaced synonym,Mimosa somnians var. leptocaulis,Mimosa somnians var. leptocaulis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa somians leptocaulis,not found,NA,Mimosa somnians var. leptocaulis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa somnians leptocaulis,not found,NA,Mimosa somnians var. leptocaulis,
104126,Mimosa somnians var. leptocaulis (Benth.) Barneby,Fabaceae,variety,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa somnians var. leptocaulis,,Mimosa somnians var. leptocaulis,Mimosa somnians var. leptocaulis,
104125,Mimosa somnians var. lasiocarpa (Benth.) Barneby,Fabaceae,variety,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria,Cerrado,Mimosa lasiocarpa,replaced synonym,Mimosa somnians var. lasiocarpa,Mimosa somnians var. lasiocarpa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa somians lasiocarpa,not found,NA,Mimosa somnians var. lasiocarpa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa somnians lasiocarpa,not found,NA,Mimosa somnians var. lasiocarpa,
104125,Mimosa somnians var. lasiocarpa (Benth.) Barneby,Fabaceae,variety,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria,Cerrado,Mimosa somnians var. lasiocarpa,,Mimosa somnians var. lasiocarpa,Mimosa somnians var. lasiocarpa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa somnians aquatica,not found,NA,Mimosa somnians var. aquatica,
83468,Mimosa somnians Humb. & Bonpl. ex Willd.,Fabaceae,species,accepted,NA,NA,NA,NA,Amaz�nia|Caatinga|Cerrado,Mimosa somians,was misspelled,Mimosa somnians,Mimosa somnians,
83468,Mimosa somnians Humb. & Bonpl. ex Willd.,Fabaceae,species,accepted,NA,NA,NA,NA,Amaz�nia|Caatinga|Cerrado,Mimosa somnians,,Mimosa somnians,Mimosa somnians,
129847,Mimosa sobralii Grings & O.S. Ribas,Fabaceae,species,accepted,NA,�rvore,Terr�cola,NA,NA,Mimosa sobralii,,Mimosa sobralii,Mimosa sobralii,
83467,Mimosa skinneri var. desmodioides (Benth.) Barneby,Fabaceae,variety,accepted,NA,Erva,Terr�cola,�rea Antr�pica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria,Amaz�nia|Cerrado,Mimosa desmodioides,replaced synonym,Mimosa skinneri var. desmodioides,Mimosa skinneri var. desmodioides,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa skinneri desmodioides,not found,NA,Mimosa skinneri var. desmodioides,
83467,Mimosa skinneri var. desmodioides (Benth.) Barneby,Fabaceae,variety,accepted,NA,Erva,Terr�cola,�rea Antr�pica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria,Amaz�nia|Cerrado,Mimosa skinneri var. desmodioides,,Mimosa skinneri var. desmodioides,Mimosa skinneri var. desmodioides,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa skinneri carajarum,not found,NA,Mimosa skinneri var. carajarum,
83465,Mimosa skinneri Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa skinneri,,Mimosa skinneri,Mimosa skinneri,
18864,Mimosa setuligera Harms,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Caatinga (stricto sensu),Caatinga,Mimosa setuligera,,Mimosa setuligera,Mimosa setuligera,
31340,Mimosa setosissima Taub.,Fabaceae,species,accepted,LC,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa setosissima,,Mimosa setosissima,Mimosa setosissima,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa setosa urbica,not found,NA,Mimosa setosa urbica,
23092,Mimosa setosa Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa sebosa,was misspelled,Mimosa setosa,Mimosa setosa,
23092,Mimosa setosa Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa setosa,,Mimosa setosa,Mimosa setosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa setosa pseudomelas,not found,NA,Mimosa setosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa setosa setosa,not found,NA,Mimosa setosa,
31334,Mimosa setistipula Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa setistipula,,Mimosa setistipula,Mimosa setistipula,
78934,Mimosa serra Burkart,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo Limpo|Floresta Ciliar ou Galeria,Cerrado,Mimosa serra,,Mimosa serra,Mimosa serra,
133900,Mimosa serpensetosa L.M. Borges,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa serpensetosa,,Mimosa serpensetosa,Mimosa serpensetosa,
18861,Mimosa sericantha Benth.,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu),Cerrado,Mimosa sericantha,,Mimosa sericantha,Mimosa sericantha,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa sensitiva sensitiva,not found,NA,Mimosa sensitiva var. sensitiva,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa sensitiva malitiosa,not found,NA,Mimosa sensitiva var. malitiosa,
18859,Mimosa sensitiva var. malitiosa (Mart.) Barneby,Fabaceae,variety,accepted,NA,Arbusto|Subarbusto,Terr�cola,Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa sensitiva var. malitiosa,,Mimosa sensitiva var. malitiosa,Mimosa sensitiva var. malitiosa,
83463,Mimosa sensitiva L.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,�rea Antr�pica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombr�fila Mista|Restinga,Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica|Pantanal,Mimosa sensitiva,,Mimosa sensitiva,Mimosa sensitiva,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa sensibilis urucumbensis,not found,NA,Mimosa sensibilis var. urucumensis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa sensibilis urucumensi,not found,NA,Mimosa sensibilis var. urucumensis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa sensibilis urucumensis,not found,NA,Mimosa sensibilis var. urucumensis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa sensibilis sensibilis,not found,NA,Mimosa sensibilis var. sensibilis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa sensisbilis sensibilis,not found,NA,Mimosa sensibilis var. sensibilis,
