id,scientific.name,family,taxon.rank,taxon.status,threat.status,life.form,habitat,vegetation.type,domain,original.search,notes,search.str,accepted.name,obs
31091,Mimosa calocephala Mart.,Fabaceae,species,accepted,NA,NA,NA,Campo rupestre,NA,Mimosa calocephala,,Mimosa calocephala,Mimosa calocephala,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa calocephala pohlii,not found,NA,Mimosa calocephala,
31090,Mimosa callithrix Malme,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa callithrix,,Mimosa callithrix,Mimosa callithrix,
100943,Mimosa callidryas Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Floresta Ombr�fila (= Floresta Pluvial),Mata Atl�ntica,Mimosa callidryas,,Mimosa callidryas,Mimosa callidryas,
78899,Mimosa calliandroides Hoehne,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Savana Amaz�nica,Amaz�nia,Mimosa calliandroides,,Mimosa calliandroides,Mimosa calliandroides,
31089,Mimosa caliciadenia Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa caliciadenia,,Mimosa caliciadenia,Mimosa caliciadenia,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa cainguensis,not found,NA,Mimosa cainguensis,
18776,Mimosa caesalpiniifolia Benth.,Fabaceae,species,accepted,LC,Arbusto|�rvore,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ombr�fila (= Floresta Pluvial),Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa caesalpiniaefolia,replaced synonym,Mimosa caesalpiniifolia,Mimosa caesalpiniifolia,
18776,Mimosa caesalpiniifolia Benth.,Fabaceae,species,accepted,LC,Arbusto|�rvore,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ombr�fila (= Floresta Pluvial),Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa caesalpinifolia,was misspelled,Mimosa caesalpiniifolia,Mimosa caesalpiniifolia,
18776,Mimosa caesalpiniifolia Benth.,Fabaceae,species,accepted,LC,Arbusto|�rvore,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ombr�fila (= Floresta Pluvial),Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa caesalpiniifolia,,Mimosa caesalpiniifolia,Mimosa caesalpiniifolia,
18776,Mimosa caesalpiniifolia Benth.,Fabaceae,species,accepted,LC,Arbusto|�rvore,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ombr�fila (= Floresta Pluvial),Amaz�nia|Caatinga|Cerrado|Mata Atl�ntica,Mimosa caesapiniifolia,was misspelled,Mimosa caesalpiniifolia,Mimosa caesalpiniifolia,
605698,Mimosa caccavariana J.Santos-Silva & A.M.G.Azevedo,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa caccavariana,,Mimosa caccavariana,Mimosa caccavariana,
18775,Mimosa burchellii Benth.,Fabaceae,species,accepted,NA,Erva|Subarbusto,Terr�cola,Campo Limpo,Cerrado,Mimosa burchellii,,Mimosa burchellii,Mimosa burchellii,
18774,Mimosa brevipinna Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Caatinga (stricto sensu),Caatinga,Mimosa brevipinna,,Mimosa brevipinna,Mimosa brevipinna,
127867,Mimosa brevipetiolata var. pauperoides (Burkart) Barneby,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Campo Limpo,Pampa,Mimosa pauperoides,replaced synonym,Mimosa brevipetiolata var. pauperoides,Mimosa brevipetiolata var. pauperoides,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa brevipetiolata hirtula,not found,NA,Mimosa brevipetiolata var. hirtula,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa brevipetiolata pilosula,not found,NA,Mimosa brevipetiolata var. hirtula,
